rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5JhUm1v5AbI5Yu6jLKCPRO","Grupo Frontera","No Se Va - En Vivo","Grupo Frontera",1,1,16,"7223164"
2,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",2,2,19,"7185048"
3,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,3,19,"5963714"
4,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",2,4,28,"5673487"
5,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,5,28,"5535353"
6,"spotify:track:4H6o1bxKRGzmsE0vzo968m","Yuridia, Ángela Aguilar","Qué Agonía","Sony Music México",6,8,4,"5363199"
7,"spotify:track:5PfFHceiEv61KldMOuVrv8","Peso Pluma, Luis R Conriquez","Siempre Pendientes","Prajin Records",6,6,14,"5172415"
8,"spotify:track:4w273WCBXwM4P3jTX5HkB2","Grupo Marca Registrada, Junior H","El Rescate","RB Music",8,9,17,"4878029"
9,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",2,7,28,"4757350"
10,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,12,28,"4686810"
11,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",6,10,28,"4641500"
12,"spotify:track:5kpxVMDvYGRmNqawPqDTYR","La Adictiva, Luis R Conriquez","JGL","Anval Music",10,13,35,"4422920"
13,"spotify:track:6G12ZafqofSq7YtrMqUm76","Shakira, Ozuna","Monotonía","Sony Music Latin",5,11,4,"4307716"
