uri,artist_names,track_name,search_term
spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",We Found Love,we found love by rihanna
spotify:track:0mP1c16IbyvTQvNMYKZ3Mx,Grupo Origen,Cabron Yo Puedo,cabron yo puedo by grupo origen
spotify:track:0O0kmHHBUG4YCqrKvMnmQy,Rels B,yo pr1mero,yo pr1mero by rels b
spotify:track:2SiAcexM2p1yX6joESbehd,ROSALÍA,LLYLM,llylm by rosalía
spotify:track:1z9kQ14XBSN0r2v6fx4IdG,Rihanna,Diamonds,diamonds by rihanna
spotify:track:2yPoXCs7BSIUrucMdK5PzV,"Rihanna, JAY-Z",Umbrella,umbrella by rihanna
spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,i ain't worried by onerepublic
spotify:track:5S8i9p2xS8M8pFqfZMbMzI,"Rauw Alejandro, Subelo NEO",RON COLA,ron cola by rauw alejandro
spotify:track:4ETb1UPd2OAem6KVOpz0WM,Humbe,sanvalentín:(,sanvalentín:( by humbe
spotify:track:1xcFgv2NqLU17sc2ri5TTG,"Grupo Marca Registrada, Fuerza Regida",El Pickles,el pickles by grupo marca registrada
spotify:track:3dy01NchIH3wWN2EJP3HTa,Cuatro De Oro,Gente Corriente - En Vivo,gente corriente by cuatro de oro
spotify:track:4EQOGfssbSpTlV6EZRtrSv,"Myke Towers, Daddy Yankee",ULALA (OOH LA LA),ulala by myke towers
spotify:track:00UbH8ziTAgSGvc8vf9qRt,"Enigma Norteño, Fuerza Regida",El Deportivo,el deportivo by enigma norteño
spotify:track:245c1JbvVkkBnmdzWCzZxq,Victor Cibrian,En El Radio Un Cochinero,en el radio un cochinero by victor cibrian
spotify:track:3LWay44eeYFEh27Gf1UA7J,RENEE,Nunca Tristes (Me Vale Madre),nunca tristes by renee
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),creepin' by metro boomin
spotify:track:0Sfn2TYbpQtCGMBf6C0Y6T,"Quevedo, Myke Towers",PLAYA DEL INGLÉS,playa del inglés by quevedo
spotify:track:1WvNTYRxyodbQ4NPmO9jKZ,Alejandro Fernández,Inexperto En Olvidarte,inexperto en olvidarte by alejandro fernández
spotify:track:0ev44APmsOEmBdbmQqzafj,Asael gonzález,El Rayo,el rayo by asael gonzález
spotify:track:69OrR4S2auEXzQ7oFh3A5H,Código FN,Soy El Ratón,soy el ratón by código fn
spotify:track:0BJMkf1sQmY3TwcHapARZI,"Rauw Alejandro, Subelo NEO",RON COLA,ron cola by rauw alejandro
spotify:track:61AZsmFB3VoJdmraMk5ZSn,"TAEYANG, Jimin",VIBE (feat. Jimin of BTS),vibe by taeyang
