uri,artist_names,track_name,search_term
spotify:track:6nTIchACfHZWP2zrGOVYFa,Camilo,Si Estoy Contigo,camilo si estoy contigo
spotify:track:4PR0r2us3a64lTew6TVlF2,Fuerza Regida,Sigo Chambeando,fuerza regida sigo chambeando
spotify:track:0Snbzbd74RLfL0i4nn1vU5,Camilo,Favorito,camilo favorito
spotify:track:0gWbAFRcUyZKdfUxEOuOiD,"Camilo, Evaluna Montaner",Por Primera Vez,"camilo, evaluna montaner por primera vez"
spotify:track:1nocRtwyNPVtGcIJqfgdzZ,"Camilo, Pedro Capó",Tutu,"camilo, pedro capó tutu"
spotify:track:6t94PGXYAuo9GbJEnMpPcW,"Super Yei, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,"super yei, sammy, myke towers, lenny tavárez, rafa pabön la forma en que me miras"
spotify:track:0PaNKfwdqHjmW7hVEQ0lbu,Camilo,La Difícil,camilo la difícil
spotify:track:4MZSqgwlE71CWZ6qQ3gkKm,Bad Bunny,<3,bad bunny <3
spotify:track:6fatMybX8VmHUpaxVcXzrz,"Ms Nina, Beauty Brain",Tu Sicaria,"ms nina, beauty brain tu sicaria"
spotify:track:4umIPjkehX1r7uhmGvXiSV,"Justin Bieber, Quavo",Intentions (feat. Quavo),"justin bieber, quavo intentions (feat. quavo)"
spotify:track:4k9byIhs9ppbYWE22waJMB,Camilo,No Te Vayas,camilo no te vayas
spotify:track:35aju8GgJmbaMk9zmhNhg4,Grupo Firme,La Estoy Pasando Mal,grupo firme la estoy pasando mal
spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,surfaces sunday best
spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,lil mosey blueberry faygo
spotify:track:3OeYgrFYUOSyA3XOWBCaLS,Morat,Nunca Te Olvidé,morat nunca te olvidé
spotify:track:4HgB85fVdWG83EZOHj5paV,Giovanny Ayala,A Cuánto Me Quedé,giovanny ayala a cuánto me quedé
spotify:track:51Fjme0JiitpyXKuyQiCDo,"Y2K, bbno$",Lalala,"y2k, bbno$ lalala"
spotify:track:5W83ErFkO3aKAIS1WMi6u0,"Anuel AA, KAROL G",Secreto,"anuel aa, karol g secreto"
spotify:track:2mlGPkAx4kwF8Df0GlScsC,Jack Stauber,Buttercup,jack stauber buttercup
spotify:track:4s45VgkknMFkdiGoUcjxQU,"Sebastian Yatra, Rauw Alejandro, Manuel Turizo",TBT,"sebastian yatra, rauw alejandro, manuel turizo tbt"
spotify:track:1G2CAJeP7rCwOZjlSJ0Zw3,"Major Lazer, J Balvin, El Alfa, Diplo",Que Calor (feat. J Balvin & El Alfa),"major lazer, j balvin, el alfa, diplo que calor (feat. j balvin & el alfa)"
spotify:track:1fXKStjVOTmBEwjAnFSNkc,Morat,Enamórate De Alguien Más,morat enamórate de alguien más
spotify:track:6zrJLhslleCHby0wbUnvVy,Dua Lipa,Future Nostalgia,dua lipa future nostalgia
spotify:track:5zzbORcD0GwLY0wQHP1Xs1,"J Balvin, Mr Eazi",Arcoíris,"j balvin, mr eazi arcoíris"
spotify:track:6DXZiYUbrYgrVIhfX3U9Z2,Dua Lipa,Pretty Please,dua lipa pretty please
spotify:track:6C1jKbkCUgFws7M0M4oGCB,"Dalex, Sech",Mejor,"dalex, sech mejor"
spotify:track:4rPkN1FMzQyFNP9cLUGIIB,Dua Lipa,Love Again,dua lipa love again
spotify:track:1nYeVF5vIBxMxfPoL0SIWg,Dua Lipa,Hallucinate,dua lipa hallucinate
